Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
140,,,"Sector-10, Gandhinagar - GPCB",117.00
141,,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",119.00
142,,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",143.00
143,,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",90.00
144,,Surat,"Katargam, Surat - Nexteng Enviro",88.00
145,,,"Science Center, Surat - SMC",99.00
146,,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",100.00
147,,Vapi,"Phase-1 GIDC, Vapi - GPCB",79.00
148,,Vatva,"Phase-4 GIDC, Vatva - GPCB",140.00
149,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",72.00
150,,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",87.00
151,,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",256.00
152,,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",30.00
153,,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",226.00
154,,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",138.00
155,,Faridabad,"New Industrial Town, Faridabad - HSPCB",108.00
156,,,"Sector 11, Faridabad - HSPCB",251.00
157,,,"Sector 30, Faridabad - HSPCB",113.00
158,,,"Sector- 16A, Faridabad - HSPCB",Insufficient data available in last 24 hours.
159,,Fatehabad,"Huda Sector, Fatehabad - HSPCB",80.00
160,,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",148.00
161,,,"Sector-51, Gurugram - HSPCB",252.00
162,,,"Teri Gram, Gurugram - HSPCB",207.00
163,,,"Vikas Sadan, Gurugram - HSPCB",285.00
164,,Hisar,"Urban Estate-II, Hisar - HSPCB",Insufficient data available in last 24 hours.
165,,Jind,"Police Lines, Jind - HSPCB",110.00
166,,Kaithal,"Rishi Nagar, Kaithal - HSPCB",71.00
167,,Karnal,"Sector-12, Karnal - HSPCB",86.00
168,,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",138.00
169,,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",62.00
170,,Manesar,"Sector-2 IMT, Manesar - HSPCB",174.00
171,,Narnaul,"Shastri Nagar, Narnaul - HSPCB",161.00
172,,Palwal ,"Shyam Nagar, Palwal - HSPCB",70.00
173,,Panchgaon,"Amity University, Panchgaon - IITM",91.00
174,,Panchkula,"Sector-6, Panchkula - HSPCB ",57.00
175,,Panipat,"Sector-18, Panipat - HSPCB",153.00
176,,Rohtak,"MD University, Rohtak - HSPCB",39.00
177,,Sirsa,"F-Block, Sirsa - HSPCB",78.00
178,,Sonipat,"Murthal, Sonipat - HSPCB",157.00
179,,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",199.00
180,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",149.00
181,Jammu and Kashmir,Pampore,"Khrew, Pampore - JKPCC",46.00
182,,Srinagar,"Khunmoh, Srinagar - JKPCC",Insufficient data available in last 24 hours.
183,,,"Rajbagh, Srinagar - JKPCC",42.00
184,Jharkhand,Dhanbad,"Kalakusuma, Dhanbad - DMC",Insufficient data available in last 24 hours.
185,,,"Sardar Patel Nagar, Dhanbad - JSPCB",129.00
186,,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",128.00
187,,Pathardih,"Mohalbani Ghat, Pathardih - DMC",Insufficient data available in last 24 hours.
188,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",54.00
189,,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",Insufficient data available in last 24 hours.
190,,Bengaluru,"BTM Layout, Bengaluru - CPCB",89.00
191,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",69.00
192,,,"Bapuji Nagar, Bengaluru - KSPCB",111.00
193,,,"City Railway Station, Bengaluru - KSPCB",111.00
194,,,"Hebbal, Bengaluru - KSPCB",199.00
195,,,"Hombegowda Nagar, Bengaluru - KSPCB",100.00
196,,,"Jayanagar 5th Block, Bengaluru - KSPCB",109.00
197,,,"Jigani, Bengaluru - KSPCB",94.00
198,,,"Kasturi Nagar, Bengaluru - KSPCB",80.00
199,,,"Peenya, Bengaluru - CPCB",69.00
200,,,"RVCE-Mailasandra, Bengaluru - KSPCB",139.00
201,,,"Sanegurava Halli, Bengaluru - KSPCB",61.00
202,,,"Shivapura_Peenya, Bengaluru - KSPCB",41.00
203,,,"Silk Board, Bengaluru - KSPCB",121.00
204,,Bidar,"Naubad, Bidar - KSPCB",Insufficient data available in last 24 hours.
205,,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",53.00
206,,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",88.00
207,,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",68.00
208,,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",Insufficient data available in last 24 hours.
209,,Dharwad,"Kalabhavan, Dharwad - KSPCB",88.00
210,,Gadag,"Panchal Nagar, Gadag - KSPCB",Insufficient data available in last 24 hours.
211,,Hassan,"B.Katihalli, Hassan - KSPCB",Insufficient data available in last 24 hours.
212,,Haveri,"Ashwini Nagar, Haveri - KSPCB",Insufficient data available in last 24 hours.
213,,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",Insufficient data available in last 24 hours.
214,,,"Lingaraj Nagar, Hubballi - KSPCB",58.00
215,,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Insufficient data available in last 24 hours.
216,,,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",59.00
217,,Karwar,"KHB Colony, Karwar - KSPCB",Insufficient data available in last 24 hours.
218,,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",Insufficient data available in last 24 hours.
219,,Koppal,"Diwator Nagar, Koppal - KSPCB",Insufficient data available in last 24 hours.
220,,Madikeri,"Stuart Hill, Madikeri - KSPCB",49.00
221,,Mangalore,"Kadri, Mangalore - KSPCB",104.00
222,,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",82.00
223,,Raichur,"Haji Colony, Raichur - KSPCB",Insufficient data available in last 24 hours.
224,,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",87.00
225,,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",57.00
226,,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",Insufficient data available in last 24 hours.
227,,Udupi,"Brahmagiri, Udupi - KSPCB",Insufficient data available in last 24 hours.
228,,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",38.00
229,,Yadgir,"Collector Office, Yadgir - KSPCB",125.00
230,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",Insufficient data available in last 24 hours.
231,,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",Insufficient data available in last 24 hours.
